,Unnamed: 0,X0,X1,cluster_id,sub_cluster,cluster,origin,size_factor,celltype_origin,batch,n_counts,tissue,lr_batch,corr_concat,cell.labels,stage,lanes,sex,sort.ids,fetal.ids,component,broad_cell.labels,sequencing.type,orig.dataset,broad_cell_labels_organ,V6_old_indexes,col,num,corr_concat_num,predicted,subclusters
SS.sc7785290,1,12.213498,-0.5503276,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.973130652909305,Blood Progenitors_Yolk Sac_2,0,371012.8,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_2
SS.sc7785291,35,11.765801,0.8651244,Hemogenic Endothelial Progenitors,Hemogenic Endothelium,Hemogenic Endothelial Progenitors,Yolk Sac,0.961988338403417,Hemogenic Endothelium_Yolk Sac_1,0,302030.12,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Hemogenic Endothelium_Yolk Sac_1
SS.sc7785378,44,12.049977,-0.31863427,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.04240467214136,Blood Progenitors_Yolk Sac_2,0,389242.7,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_2
SS.sc7785362,58,10.83512,-2.0208893,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.447466759014522,Erythroblasts_Yolk Sac,0,200889.61,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785530,61,12.480924,1.3667667,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.976325780633666,Erythro-Myeloid Progenitors_Yolk Sac_1,0,361035.44,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_1
SS.sc7785451,94,10.873213,-2.0834055,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.851082012867989,Erythroblasts_Yolk Sac,0,424381.72,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785336,98,11.810123,0.7636481,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.25237040409185,Erythro-Myeloid Progenitors_Yolk Sac_0,0,462058.97,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785474,99,10.969957,-2.297076,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.739029763529051,Erythroblasts_Yolk Sac,0,380913.1,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785554,103,11.076372,-2.3027475,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.502359348910737,Erythroblasts_Yolk Sac,0,234854.16,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785411,105,12.750609,1.2970772,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.49592186064319,Erythro-Myeloid Progenitors_Yolk Sac_0,0,466846.47,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,NK_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785503,115,12.341313,-0.4691384,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.37239769394323,Blood Progenitors_Yolk Sac_0,0,529446.2,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785579,141,12.084113,0.98237026,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.795512753283489,Erythro-Myeloid Progenitors_Yolk Sac_0,0,290892.56,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785526,149,11.129974,-2.493415,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.908009326774017,Erythroblasts_Yolk Sac,0,414085.94,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785303,179,11.656243,0.82705474,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.2697408624535,Erythro-Myeloid Progenitors_Yolk Sac_0,0,459024.8,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785650,197,12.91374,2.164605,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.815983677815487,Erythro-Myeloid Progenitors_Yolk Sac_2,0,271440.25,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Erythro-Myeloid Progenitors_Yolk Sac_2
SS.sc7785312,200,12.059435,-0.579377,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.32564209577011,Blood Progenitors_Yolk Sac_2,0,517377.16,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_2
SS.sc7785545,201,11.609534,-0.5388591,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.01773082514702,Blood Progenitors_Yolk Sac_1,0,390003.56,gastrulation,gastrulation,Early_Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#FFE8EC,#FFE8EC,#FFE8EC : Early_Erythroid_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_1
SS.sc7785354,219,10.855684,-1.8572042,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.816528870402351,Erythroblasts_Yolk Sac,0,337657.16,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785627,260,11.94334,-0.6335635,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.824256879549012,Blood Progenitors_Yolk Sac_0,0,325356.1,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785351,267,12.09459,-0.46610716,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.03484196522995,Blood Progenitors_Yolk Sac_2,0,413704.6,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_2
